 Reac Temp = 120.40  Stripper Lev =  50.00  Stripper Underflow =  16.43
 Reac Temp = 120.40  Stripper Lev =  50.00  Stripper Underflow =  16.33
 Reac Temp = 120.42  Stripper Lev =  49.71  Stripper Underflow =  15.64
 Reac Temp = 120.42  Stripper Lev =  49.78  Stripper Underflow =  15.69
 Reac Temp = 120.43  Stripper Lev =  49.63  Stripper Underflow =  15.30
 Reac Temp = 120.39  Stripper Lev =  49.39  Stripper Underflow =  14.70
 Reac Temp = 120.39  Stripper Lev =  48.93  Stripper Underflow =  13.68
 Reac Temp = 120.40  Stripper Lev =  50.41  Stripper Underflow =  16.55
 Reac Temp = 120.39  Stripper Lev =  50.75  Stripper Underflow =  17.13
 Reac Temp = 120.41  Stripper Lev =  52.13  Stripper Underflow =  19.81
 Reac Temp = 120.41  Stripper Lev =  51.50  Stripper Underflow =  18.45
 Reac Temp = 120.41  Stripper Lev =  50.08  Stripper Underflow =  15.50
 Reac Temp = 120.40  Stripper Lev =  48.83  Stripper Underflow =  12.91
 Reac Temp = 120.41  Stripper Lev =  50.02  Stripper Underflow =  15.19
 Reac Temp = 120.39  Stripper Lev =  50.66  Stripper Underflow =  16.37
 Reac Temp = 120.42  Stripper Lev =  51.03  Stripper Underflow =  17.01
 Reac Temp = 120.41  Stripper Lev =  50.16  Stripper Underflow =  15.18
 Reac Temp = 120.43  Stripper Lev =  50.38  Stripper Underflow =  15.51
 Reac Temp = 120.41  Stripper Lev =  50.75  Stripper Underflow =  16.15
 Reac Temp = 120.40  Stripper Lev =  49.61  Stripper Underflow =  13.78
 Reac Temp = 120.41  Stripper Lev =  52.08  Stripper Underflow =  18.63
 Reac Temp = 120.44  Stripper Lev =  52.52  Stripper Underflow =  19.43
 Reac Temp = 120.43  Stripper Lev =  52.08  Stripper Underflow =  18.46
 Reac Temp = 120.43  Stripper Lev =  52.15  Stripper Underflow =  18.51
 Reac Temp = 120.46  Stripper Lev =  51.90  Stripper Underflow =  17.94
 Reac Temp = 120.45  Stripper Lev =  50.78  Stripper Underflow =  15.60
 Reac Temp = 120.48  Stripper Lev =  51.98  Stripper Underflow =  17.90
 Reac Temp = 120.45  Stripper Lev =  51.96  Stripper Underflow =  17.79
 Reac Temp = 120.47  Stripper Lev =  52.97  Stripper Underflow =  19.72
 Reac Temp = 120.47  Stripper Lev =  53.49  Stripper Underflow =  20.69
 Reac Temp = 120.49  Stripper Lev =  53.80  Stripper Underflow =  21.23
 Reac Temp = 120.47  Stripper Lev =  52.41  Stripper Underflow =  18.37
 Reac Temp = 120.50  Stripper Lev =  52.63  Stripper Underflow =  18.72
 Reac Temp = 120.49  Stripper Lev =  50.00  Stripper Underflow =  13.37
 Reac Temp = 120.49  Stripper Lev =  52.87  Stripper Underflow =  19.03
 Reac Temp = 120.52  Stripper Lev =  51.82  Stripper Underflow =  16.84
 Reac Temp = 120.52  Stripper Lev =  53.21  Stripper Underflow =  19.54
 Reac Temp = 120.53  Stripper Lev =  53.66  Stripper Underflow =  20.37
 Reac Temp = 120.52  Stripper Lev =  52.56  Stripper Underflow =  18.09
 Reac Temp = 120.54  Stripper Lev =  52.57  Stripper Underflow =  18.01
 Reac Temp = 120.56  Stripper Lev =  53.09  Stripper Underflow =  18.97
 Reac Temp = 120.57  Stripper Lev =  51.82  Stripper Underflow =  16.35
 Reac Temp = 120.56  Stripper Lev =  54.21  Stripper Underflow =  21.05
 Reac Temp = 120.57  Stripper Lev =  51.97  Stripper Underflow =  16.49
 Reac Temp = 120.56  Stripper Lev =  54.59  Stripper Underflow =  21.66
 Reac Temp = 120.57  Stripper Lev =  52.81  Stripper Underflow =  18.02
 Reac Temp = 120.58  Stripper Lev =  53.15  Stripper Underflow =  18.62
 Reac Temp = 120.60  Stripper Lev =  55.38  Stripper Underflow =  23.02
 Reac Temp = 120.59  Stripper Lev =  52.06  Stripper Underflow =  16.28
 Reac Temp = 120.62  Stripper Lev =  52.98  Stripper Underflow =  18.05
 Reac Temp = 120.62  Stripper Lev =  54.73  Stripper Underflow =  21.48
 Reac Temp = 120.64  Stripper Lev =  54.14  Stripper Underflow =  20.24
 Reac Temp = 120.65  Stripper Lev =  54.84  Stripper Underflow =  21.55
 Reac Temp = 120.66  Stripper Lev =  52.67  Stripper Underflow =  17.14
 Reac Temp = 120.66  Stripper Lev =  53.29  Stripper Underflow =  18.30
 Reac Temp = 120.65  Stripper Lev =  54.60  Stripper Underflow =  20.85
 Reac Temp = 120.66  Stripper Lev =  54.27  Stripper Underflow =  20.11
 Reac Temp = 120.69  Stripper Lev =  56.23  Stripper Underflow =  23.97
 Reac Temp = 120.71  Stripper Lev =  54.18  Stripper Underflow =  19.81
 Reac Temp = 120.72  Stripper Lev =  54.09  Stripper Underflow =  19.56
 Reac Temp = 120.73  Stripper Lev =  53.70  Stripper Underflow =  18.69
 Reac Temp = 120.73  Stripper Lev =  52.99  Stripper Underflow =  17.20
 Reac Temp = 120.74  Stripper Lev =  55.73  Stripper Underflow =  22.63
 Reac Temp = 120.74  Stripper Lev =  55.96  Stripper Underflow =  23.02
 Reac Temp = 120.77  Stripper Lev =  55.47  Stripper Underflow =  21.97
 Reac Temp = 120.78  Stripper Lev =  57.31  Stripper Underflow =  25.60
 Reac Temp = 120.78  Stripper Lev =  56.31  Stripper Underflow =  23.54
 Reac Temp = 120.78  Stripper Lev =  57.56  Stripper Underflow =  26.00
 Reac Temp = 120.79  Stripper Lev =  55.92  Stripper Underflow =  22.66
 Reac Temp = 120.81  Stripper Lev =  55.51  Stripper Underflow =  21.78
 Reac Temp = 120.82  Stripper Lev =  54.22  Stripper Underflow =  19.12
 Reac Temp = 120.84  Stripper Lev =  56.20  Stripper Underflow =  23.03
 Reac Temp = 120.84  Stripper Lev =  55.38  Stripper Underflow =  21.32
 Reac Temp = 120.84  Stripper Lev =  55.94  Stripper Underflow =  22.38
 Reac Temp = 120.87  Stripper Lev =  57.83  Stripper Underflow =  26.11
 Reac Temp = 120.89  Stripper Lev =  56.27  Stripper Underflow =  22.93
 Reac Temp = 120.89  Stripper Lev =  55.23  Stripper Underflow =  20.79
 Reac Temp = 120.92  Stripper Lev =  56.97  Stripper Underflow =  24.21
 Reac Temp = 120.92  Stripper Lev =  57.49  Stripper Underflow =  25.21
 Reac Temp = 120.93  Stripper Lev =  57.09  Stripper Underflow =  24.34
 Reac Temp = 120.95  Stripper Lev =  57.79  Stripper Underflow =  25.70
 Reac Temp = 120.95  Stripper Lev =  55.92  Stripper Underflow =  21.89
 Reac Temp = 120.96  Stripper Lev =  57.54  Stripper Underflow =  25.09
 Reac Temp = 120.98  Stripper Lev =  57.00  Stripper Underflow =  23.95
 Reac Temp = 120.98  Stripper Lev =  56.40  Stripper Underflow =  22.71
 Reac Temp = 120.99  Stripper Lev =  54.13  Stripper Underflow =  18.09
 Reac Temp = 121.02  Stripper Lev =  55.31  Stripper Underflow =  20.38
 Reac Temp = 121.01  Stripper Lev =  56.35  Stripper Underflow =  22.41
 Reac Temp = 121.02  Stripper Lev =  57.43  Stripper Underflow =  24.51
 Reac Temp = 121.04  Stripper Lev =  56.97  Stripper Underflow =  23.54
 Reac Temp = 121.05  Stripper Lev =  57.18  Stripper Underflow =  23.91
 Reac Temp = 121.08  Stripper Lev =  55.52  Stripper Underflow =  20.52
 Reac Temp = 121.09  Stripper Lev =  56.22  Stripper Underflow =  21.86
 Reac Temp = 121.08  Stripper Lev =  58.78  Stripper Underflow =  26.95
 Reac Temp = 121.11  Stripper Lev =  56.47  Stripper Underflow =  22.27
 Reac Temp = 121.12  Stripper Lev =  56.81  Stripper Underflow =  22.90
 Reac Temp = 121.12  Stripper Lev =  57.10  Stripper Underflow =  23.42
 Reac Temp = 121.16  Stripper Lev =  57.89  Stripper Underflow =  24.96
 Reac Temp = 121.15  Stripper Lev =  57.52  Stripper Underflow =  24.17
 Reac Temp = 121.15  Stripper Lev =  57.58  Stripper Underflow =  24.23
 Reac Temp = 121.17  Stripper Lev =  55.41  Stripper Underflow =  19.84
 Reac Temp = 121.19  Stripper Lev =  56.65  Stripper Underflow =  22.26
 Reac Temp = 121.21  Stripper Lev =  56.68  Stripper Underflow =  22.27
